Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-10-18,4327.2,4337.69,4288.99,4324.37,624041.8307,2698317185.34,4323.93639753
2016-10-17,4336.5,4341.9,4313.04,4327.64,531192.9241,2300490624.97,4330.80058223
2016-10-16,4314.09,4354.27,4311.06,4336.49,606032.4726,2626084507.94,4333.24058804
2016-10-15,4322.51,4340.67,4289.0,4314.81,621158.4306,2685059027.19,4322.66374393
2016-10-14,4306.36,4347.99,4296.0,4322.5,720685.7093,3111890569.39,4317.95792428
2016-10-13,4301.68,4317.99,4285.0,4307.05,611296.4554,2632740680.58,4306.81489697
2016-10-12,4326.49,4336.83,4283.0,4301.7,765854.8972,3295819896.93,4303.45214084
2016-10-11,4157.41,4357.86,4145.72,4325.6,670639.6973,2862648121.59,4268.5336599
2016-10-10,4111.89,4157.42,4111.52,4157.41,324496.169,1341055899.22,4132.7326093
2016-10-09,4119.18,4122.0,4097.67,4111.89,203615.7763,836905956.809,4110.22157525
2016-10-08,4117.67,4134.99,4107.76,4119.56,209710.6147,863878364.039,4119.38310931
2016-10-07,4087.93,4125.42,4085.0,4117.66,242330.3597,995354433.305,4107.42770546
2016-10-06,4093.25,4095.62,4079.8,4087.97,172654.5312,705893628.588,4088.47438687
2016-10-05,4076.88,4099.0,4062.43,4093.24,179649.8045,733500187.678,4082.94453601
2016-10-04,4082.18,4085.02,4055.0,4076.99,169907.6013,691944001.161,4072.47230769
2016-10-03,4080.98,4091.09,4075.35,4082.38,147486.877,602479389.28,4084.96946667
2016-10-02,4094.55,4096.67,4065.02,4080.85,134901.5991,550960384.255,4084.16496121
2016-10-01,4075.6,4109.0,4067.91,4094.6,198612.6488,812335591.203,4090.04963234
2016-09-30,4036.68,4079.87,4028.0,4076.0,265003.0116,1071491782.08,4043.319265
2016-09-29,4028.4,4050.0,4020.39,4037.19,206497.9727,833301354.369,4035.39726552
2016-09-28,4039.01,4044.67,4020.72,4028.3,226017.773,911375352.916,4032.31719709
2016-09-27,4046.11,4070.25,4016.24,4039.0,253862.995,1025115142.45,4038.06447824
2016-09-26,3989.06,4053.28,3986.23,4047.03,318210.7915,1281337990.38,4026.69558859
2016-09-25,4002.83,4014.91,3975.95,3989.41,182087.5281,727656090.796,3996.18852751
2016-09-24,4010.01,4023.61,3982.29,4002.8,162626.0884,651696825.97,4007.33260193
2016-09-23,3970.0,4018.08,3958.0,4010.01,255781.877,1019819006.26,3987.06514402
2016-09-22,3970.22,3984.29,3962.4,3970.54,222896.3533,886104580.364,3975.41084565
2016-09-21,3950.0,3986.62,3890.0,3970.23,326911.726,1297164171.98,3967.93405931
2016-09-20,4052.61,4060.41,3950.0,3950.0,234996.6646,951302809.007,4048.15451583
2016-09-19,4056.81,4080.0,4040.0,4052.99,242044.2602,982317143.681,4058.41949266
2016-09-18,4031.36,4068.4,4016.16,4056.82,288398.3689,1167199456.6,4047.17773214
2016-09-17,4035.16,4039.0,4014.02,4031.36,198808.719,801332940.001,4030.67302094
2016-09-16,4037.88,4059.3,4032.04,4035.48,252570.3199,1020491852.99,4040.4266558
2016-09-15,4051.49,4054.41,4016.0,4037.98,245105.1688,990718435.355,4042.01363931
2016-09-14,4044.15,4063.0,4038.49,4051.46,291745.0189,1181129638.75,4048.49975915
2016-09-13,4033.03,4068.0,4030.0,4044.13,272763.0715,1103387478.31,4045.22310238
2016-09-12,4030.0,4040.0,4009.26,4032.7,338997.8492,1365799897.56,4028.93381414
2016-09-11,4150.86,4209.0,3936.7,4030.0,498927.3024,2038168552.46,4085.10126157
2016-09-10,4136.66,4166.0,4135.0,4150.97,196299.6592,814314780.609,4148.32498399
2016-09-09,4153.14,4164.39,4105.5,4137.53,167432.1037,692395780.064,4135.38243123
2016-09-08,4087.68,4177.0,4076.11,4153.06,203551.3731,842788122.387,4140.41973558
2016-09-07,4088.34,4098.0,4053.34,4088.0,223812.0238,912806190.774,4078.45018903
2016-09-06,4077.82,4102.0,4059.91,4088.36,145871.6855,594867859.857,4078.02143245
2016-09-05,4106.88,4107.43,4040.0,4077.07,133474.6284,543702819.256,4073.45445179
2016-09-04,4044.48,4123.13,4020.0,4107.02,127583.0545,519348743.737,4070.67181275
2016-09-03,3840.97,4072.98,3825.0,4044.55,162355.7128,635204721.475,3912.42605831
2016-09-02,3827.54,3852.6,3805.78,3840.63,62970.0702,241068998.737,3828.31078275
2016-09-01,3847.54,3856.91,3813.63,3826.68,65298.5163,250229137.361,3832.07998496
2016-08-31,3869.75,3875.0,3822.44,3847.53,60344.1825,231730289.872,3840.14299759
2016-08-30,3831.95,3880.0,3830.0,3870.36,69729.9232,269018093.321,3858.00071154
2016-08-29,3820.16,3852.97,3811.11,3833.13,81308.952,311951824.882,3836.62336322
