Date,Total Population 10000 persons,Male Population,Male Proportion,Female Population,Female Proportion,Urban Population,Urban Proportion,Rural Population,Rural Proportion
2010-12-31,134091.0,68748.0,51.269660156163,65343.0,48.730339843837,66978.0,49.949661051077,67113.0,50.050338948923
2009-12-31,133450.0,68647.0,51.440239790184,64803.0,48.559760209816,64512.0,48.341701011615,68938.0,51.658298988385
2008-12-31,132802.0,68357.0,51.472869384497,64445.0,48.527130615503,62403.0,46.989503170133,70399.0,53.010496829867
2007-12-31,132129.0,68048.0,51.501184448531,64081.0,48.498815551469,60633.0,45.889244601866,71496.0,54.110755398134
2006-12-31,131448.0,67728.0,51.524557239365,63720.0,48.475442760635,58288.0,44.343010163715,73160.0,55.656989836285
2005-12-31,130756.0,67375.0,51.527272171067,63381.0,48.472727828933,56212.0,42.989996634954,74544.0,57.010003365046
2004-12-31,129988.0,66976.0,51.524756131335,63012.0,48.475243868665,54283.0,41.8,75705.0,58.2
2003-12-31,129227.0,66556.0,51.503168842425,62671.0,48.496831157575,52376.0,40.5,76851.0,59.5
2002-12-31,128453.0,66115.0,51.470187539411,62338.0,48.529812460589,50212.0,39.089783811978,78241.0,60.910216188022
2001-12-31,127627.0,65672.0,51.456196572825,61955.0,48.543803427175,48064.0,37.659742844382,79563.0,62.340257155618
2000-12-31,126743.0,65437.0,51.629675800636,61306.0,48.370324199364,45906.0,36.219751781163,80837.0,63.780248218837
1999-12-31,125786.0,64126.0,50.980236274307,61660.0,49.019763725693,43748.0,34.779705213617,82038.0,65.220294786383
1998-12-31,124761.0,63604.0,50.980675050697,61157.0,49.019324949303,41608.0,33.350165516467,83153.0,66.649834483533
1997-12-31,123626.0,63131.0,51.066118777603,60495.0,48.933881222397,39449.0,31.909954216751,84177.0,68.090045783249
1996-12-31,122389.0,62200.0,50.82156076118,60189.0,49.17843923882,37304.0,30.479863386415,85085.0,69.520136613585
1995-12-31,121121.0,61808.0,51.029961773763,59313.0,48.970038226237,35174.0,29.040381106497,85947.0,70.959618893503
1994-12-31,119850.0,61246.0,51.102211097205,58604.0,48.897788902795,34169.0,28.509803921569,85681.0,71.490196078431
1993-12-31,118517.0,60472.0,51.023903743767,58045.0,48.976096256233,33173.0,27.990077372866,85344.0,72.009922627134
1992-12-31,117171.0,59811.0,51.045907263743,57360.0,48.954092736257,32175.0,27.459866349182,84996.0,72.540133650818
1991-12-31,115823.0,59466.0,51.342134118439,56357.0,48.657865881561,31203.0,26.940245029053,84620.0,73.059754970947
1990-12-31,114333.0,58904.0,51.519683730856,55429.0,48.480316269144,30195.0,26.409697987458,84138.0,73.590302012542
1989-12-31,112704.0,58099.0,51.55,54605.0,48.45,29540.0,26.2,83164.0,73.8
1988-12-31,111026.0,57201.0,51.52,53825.0,48.48,28661.0,25.8,82365.0,74.2
1987-12-31,109300.0,56290.0,51.5,53010.0,48.5,27674.0,25.3,81626.0,74.7
1986-12-31,107507.0,55581.0,51.7,51926.0,48.3,26366.0,24.5,81141.0,75.5
1985-12-31,105851.0,54725.0,51.7,51126.0,48.3,25094.0,23.7,80757.0,76.3
1984-12-31,104357.0,53848.0,51.6,50509.0,48.4,24017.0,23.0,80340.0,77.0
1983-12-31,103008.0,53152.0,51.6,49856.0,48.4,22274.0,21.6,80734.0,78.4
1982-12-31,101654.0,52352.0,51.5,49302.0,48.5,21480.0,21.1,80174.0,78.9
1981-12-31,100072.0,51519.0,51.48,48553.0,48.52,20171.0,20.2,79901.0,79.8
1980-12-31,98705.0,50785.0,51.45,47920.0,48.55,19140.0,19.4,79565.0,80.6
1979-12-31,97542.0,50192.0,51.46,47350.0,48.54,18495.0,19.0,79047.0,81.0
1978-12-31,96259.0,49567.0,51.49,46692.0,48.51,17245.0,17.9,79014.0,82.1
1977-12-31,94974.0,48908.0,51.5,46066.0,48.5,16669.0,17.6,78305.0,82.4
1976-12-31,93717.0,48257.0,51.49,45460.0,48.51,16341.0,17.4,77376.0,82.6
1975-12-31,92420.0,47564.0,51.47,44856.0,48.53,16030.0,17.3,76390.0,82.7
1974-12-31,90859.0,46727.0,51.43,44132.0,48.57,15595.0,17.2,75264.0,82.8
1973-12-31,89211.0,45876.0,51.42,43335.0,48.58,15345.0,17.2,73866.0,82.8
1972-12-31,87177.0,44813.0,51.4,42364.0,48.6,14935.0,17.1,72242.0,82.9
1971-12-31,85229.0,43819.0,51.41,41410.0,48.59,14711.0,17.3,70518.0,82.7
1970-12-31,82992.0,42686.0,51.43,40306.0,48.57,14424.0,17.4,68568.0,82.6
1965-12-31,72538.0,37128.0,51.18,35410.0,48.82,13045.0,18.0,59493.0,82.0
1962-12-31,67295.0,34517.0,51.29,32778.0,48.71,11659.0,17.3,55636.0,82.7
1957-12-31,64653.0,33469.0,51.77,31184.0,48.23,9949.0,15.4,54704.0,84.6
1952-12-31,57482.0,29833.0,51.9,27649.0,48.1,7163.0,12.5,50319.0,87.5
