,Height,Weight,Grade
0,171.205738321,64.6835107064,B
1,171.892605713,62.9370078552,E
2,178.41174754,69.0537730714,B
3,169.35758562,61.2537243445,E
4,176.709968387,67.5727706525,C
5,163.111004226,59.7582828422,C
6,176.436507954,67.4674993206,C
7,177.218001737,68.521138132,D
8,167.788535616,62.3045907068,E
9,172.022710235,63.6516066502,B
10,166.135667743,61.0202135955,C
11,167.466968134,62.9055333493,B
12,164.718630406,60.1143815108,C
13,169.275939268,62.9828244949,E
14,167.135316064,61.7490419669,C
15,177.003264166,69.993054389,C
16,168.727778276,61.6028158985,B
17,176.053690504,67.3665289219,D
18,178.837775881,69.2284151616,C
19,173.318223996,64.6814708028,C
20,171.112126136,62.9188335968,A
21,176.923536209,68.0797881168,D
22,174.654565108,63.3357583606,B
23,163.89765543,59.3664086069,C
24,174.359030959,65.695237269,C
25,180.657660246,70.6585469454,D
26,169.700233101,60.4238611306,B
27,172.322362289,65.238068328,B
28,166.751415829,60.5168563001,D
29,171.716646856,64.7544323668,B
30,167.568847339,62.0728809124,C
31,175.348694403,69.1882193924,E
32,174.784630135,65.7663198951,C
33,175.171128117,65.6670422134,D
34,172.552824591,65.3750936129,D
35,168.769990954,60.5875028266,E
36,170.672223779,62.2160754388,E
37,183.876467106,72.3859655486,B
38,163.201981589,57.9683048489,C
39,168.489126748,60.0230306461,E
40,177.054121234,66.0541029404,E
41,179.000231034,70.1705942699,D
42,176.895425951,67.7566545291,E
43,165.918186247,59.9484566424,B
44,168.539416061,61.6473037976,E
45,166.41881313,60.8626432108,B
46,174.60727361,65.8314346458,E
47,177.855807713,67.3552023184,D
48,164.963917409,59.1609217774,D
49,170.593827291,63.6534149706,C
50,170.410050629,65.5467232457,C
51,174.404945538,66.9400484227,D
52,172.375613071,65.002678815,C
53,168.243470024,61.5485033857,E
54,168.246785187,62.8379949677,D
55,172.779844192,65.2825456358,E
56,174.855277511,63.7722026692,A
57,178.527104021,69.8372078527,C
58,174.740740809,66.6123655405,E
59,161.902100785,57.2407858057,D
60,179.985397107,69.5507668879,C
61,160.042465646,57.3084253315,B
62,180.911070099,71.7694518471,E
63,168.034995921,61.5655948763,C
64,161.30413219,57.3494471541,E
65,164.373505032,59.2287765891,B
66,175.224225278,68.6225113137,E
67,185.582731082,74.1295450046,A
68,175.439143966,65.123244687,B
69,174.276479623,66.010218675,C
70,179.831038657,69.6118792951,B
71,171.317298042,63.5628310538,D
72,166.081183285,59.6023398423,E
73,168.51372508,62.4936323175,E
74,174.443676417,66.3794186642,C
75,175.861543209,65.1218909027,E
76,170.258822581,64.6331038847,B
77,170.168321972,62.3420942634,B
78,176.419703823,67.6441497038,E
79,173.293963262,64.5001404066,D
80,179.595649135,69.2832407869,D
81,165.272098427,61.3814010691,B
82,166.610120277,61.7002434014,B
83,173.684562887,64.126377548,D
84,168.751102663,62.195147713,C
85,174.336052576,64.6091981204,D
86,180.332312184,69.869854879,B
87,162.78357771,56.957819294,D
88,169.564962558,61.6746017214,C
89,171.728490696,63.218294281,E
90,180.199580865,69.9058611356,E
91,171.175593921,63.4540562757,E
92,176.5993497,65.7909564145,B
93,176.53468242,67.2498120229,D
94,171.239520552,64.296445573,B
95,173.8845491,65.7322872468,D
96,176.225972416,67.8231597188,C
97,175.656022028,67.257177725,E
98,175.429934147,65.4338754733,E
99,166.56372281,59.8412810945,E
100,171.291307279,63.03607432,B
101,166.968497523,60.7993981561,B
102,180.699633217,69.3298013189,B
103,176.109850551,67.8204355742,D
104,174.205643415,65.6251932809,C
105,173.511928206,65.5730150836,B
106,175.352568963,67.5945419379,C
107,166.998524273,58.7093654662,E
108,177.610491541,68.5000151361,D
109,175.15383696,67.0086481445,C
110,181.507453731,70.0800397227,C
111,176.462517339,66.484815354,D
112,182.034182635,72.2034971659,E
113,178.526206898,69.3222682137,C
114,172.203428967,64.564824396,E
115,173.991237021,66.1858660216,E
116,167.975300909,61.9491552241,D
117,173.392592132,65.9591309125,E
118,166.540845862,58.3557142866,C
119,173.239173132,65.553231762,A
120,179.331159951,69.6615364351,E
121,171.342116956,64.2027092581,C
122,168.531852144,61.6960274387,C
123,165.864194957,60.8908945641,C
124,168.809431963,62.4845310774,E
125,184.681547943,72.8970410578,C
126,181.724594719,69.9962632882,A
127,159.40895991,56.2324442999,B
128,177.500337999,69.1366426556,B
129,160.68960896,56.5067310012,E
130,168.845813501,60.9545039973,D
131,169.487405116,63.4528942415,B
132,171.350696974,61.1183745779,C
133,167.95804391,63.3174993497,E
134,172.375044586,65.2003014317,E
135,171.44778595,63.3176861589,E
136,184.423817501,72.3814789452,C
137,168.389095094,60.2825118598,E
138,172.628552839,65.3883111105,B
139,176.162562868,66.0727449467,E
140,174.676069524,65.9769342158,E
141,170.895362498,63.562055863,E
142,174.484847243,65.5948126133,C
143,169.636434403,61.1112058682,E
144,178.077932616,69.1673622794,C
145,176.852294514,68.238850597,D
146,169.013134887,62.1959868479,E
147,171.570533383,63.9401059249,E
148,176.100542888,67.8756073293,D
149,164.81659806,58.8121244448,E
150,180.177255364,70.5246513438,D
151,153.104062852,52.453724013,E
152,173.820132448,66.4250694917,D
153,171.212814347,63.288048008,D
154,167.423411133,63.3173909872,D
155,172.482300894,65.4442583777,C
156,177.263033394,68.2969983245,C
157,167.966220999,62.0020226503,C
158,177.559849267,69.5102100397,B
159,182.73700243,71.6906805334,D
160,182.531122181,70.9374134455,E
161,164.210232124,57.9133330635,B
162,160.651938097,57.5128455964,D
163,183.254449923,72.4675923567,D
164,177.14328625,68.4273674417,E
165,186.175663181,74.656285253,B
166,167.680172872,60.2129438266,C
167,171.027105882,64.1844464437,D
168,171.42165231,64.6474089215,B
169,173.193337492,64.7214308308,D
170,174.033432847,67.4447413033,E
171,179.917853261,69.3059047982,D
172,168.569962199,63.0164965163,E
173,167.215746434,60.7138715926,B
174,170.303225686,63.2693952558,E
175,180.204971335,70.2218703383,B
176,177.02684793,68.0180581828,B
177,171.504156984,63.7368881108,E
178,178.475659158,68.364699826,C
179,168.208031762,62.6698240442,D
180,171.609218102,65.2742443808,E
181,172.419171057,64.5959598876,C
182,170.816823761,63.5927424093,D
183,171.274127607,61.6327394889,C
184,163.021495015,57.6131826892,E
185,174.764286311,67.7180247908,C
186,182.309950059,71.3949651962,D
187,162.29240334,59.2386190393,D
188,174.76261966,67.7440159617,B
189,166.416888595,60.5721254414,C
190,163.079872883,57.9392314872,D
191,173.571799959,64.8997819934,A
192,156.123334763,53.8370986853,D
193,179.196497351,69.6364446229,C
194,169.158701162,62.9930471204,B
195,170.800617522,64.4600110335,C
196,171.642822379,63.2273033825,E
197,175.489038692,67.1184676832,D
198,166.865058093,60.5384264529,D
199,171.180975415,63.0679636611,A
200,175.026190566,67.5126106538,E
201,168.923248555,62.2010472867,C
202,163.283006315,57.6672530683,D
203,172.662288409,65.8793165675,B
204,170.159678163,63.0529187559,C
205,176.036234467,67.983722949,E
206,176.310768453,67.6193158559,E
207,174.996442405,66.2250536522,E
208,175.483810768,65.1738848972,B
209,168.512563473,61.6980455555,C
210,172.236059359,64.765087477,B
211,173.461790769,64.3229288128,B
212,176.630809177,67.2946601234,E
213,177.948472882,68.2833408241,A
214,170.282592479,62.4930030203,D
215,170.723262564,62.663479069,B
216,170.151297145,62.4140595442,A
217,173.987954593,67.7930079177,E
218,168.97417845,61.6898520034,D
219,172.878342872,64.2895101574,D
220,170.799201014,62.9403415579,C
221,170.36828439,62.5577961681,E
222,166.021421451,61.206005983,D
223,168.557366559,61.1220028125,C
224,161.239350365,56.7932080907,E
225,172.476204972,65.8529825681,E
226,175.526739461,68.5201498344,B
227,166.046006576,61.3736567831,D
228,174.080712274,65.6420814048,B
229,180.728153599,71.507364093,D
230,183.568203869,73.4064622151,B
231,167.872797861,63.8129431625,C
232,170.556585521,63.1438402019,C
233,170.997580317,63.6066892242,D
234,173.067195836,64.6307443531,D
235,169.621887546,63.0424231534,B
236,170.679393738,62.7898479396,A
237,175.911400752,68.1526115935,D
238,173.929952491,67.2187289626,D
239,168.504639527,60.3780312718,E
240,166.125617779,60.9875176161,C
241,163.756396515,58.7096609277,D
242,173.466226766,64.9213094803,C
243,173.037595411,64.8280313217,B
244,177.646831584,66.3074004174,D
245,171.051147455,62.817091367,D
246,166.416248424,59.0798448156,D
247,163.925546514,59.1881358575,C
248,169.20658749,62.8370180793,E
